ATM_ID,ds,Transaction_Amount,yhat,yhat_lower,yhat_upper,is_forecast
ATM_1,2023-10-05,435.26,306.49,148.65895116848316,461.63283502345655,False
ATM_1,2023-10-06,285.61,163.45,18.28833049899282,313.3327590578592,False
ATM_1,2023-10-08,154.91,235.76,81.15076220308792,406.0663530521517,False
ATM_1,2023-10-09,287.57,271.45,124.7472780237367,420.2279127111216,False
ATM_1,2023-10-10,221.25,198.05,44.59147214161328,367.89066800777505,False
ATM_1,2023-10-12,318.96000000000004,235.1,79.33170630526905,382.81472248729074,False
ATM_1,2023-10-13,169.07,210.18,64.18662515175846,375.35001937569876,False
ATM_1,2023-10-14,110.78,188.64,24.750547178614884,348.21053395316164,False
ATM_1,2023-10-18,188.32999999999998,250.51,89.31279615577783,401.4467957498651,False
ATM_1,2023-10-19,355.24,313.98,155.31688326932507,472.67179812445926,False
ATM_1,2023-10-21,126.48,313.61,153.56797585770494,481.01328834920315,False
ATM_1,2023-10-22,483.07,283.57,134.23174449073318,427.6688326204378,False
ATM_1,2023-10-23,89.27,284.34,131.3365216674551,437.273883866185,False
ATM_1,2023-10-25,243.42,216.76,51.034538262866995,380.2324345103746,False
ATM_1,2023-10-26,84.2,253.86,109.899913472737,413.5938810634597,False
ATM_1,2023-10-27,328.48,260.63,109.5273001239218,421.94477447195106,False
ATM_1,2023-10-30,175.08,203.87,43.612026112828744,363.3544125724209,False
ATM_1,2023-11-04,134.76,193.2,35.98698449815629,360.5623122631146,False
ATM_1,2023-11-05,81.57,288.36,132.65140925448895,443.784508879605,False
ATM_1,2023-11-06,110.38,211.37,64.96692064769239,371.46762394613586,False
ATM_1,2023-11-09,522.64,253.3,84.2648384094215,397.2462920862186,False
ATM_1,2023-11-12,136.73,267.34,110.22878503535918,422.98206986794554,False
ATM_1,2023-11-13,236.54,288.82,131.55867322105053,444.5447044786626,False
ATM_1,2023-11-15,228.95999999999998,138.68,-22.73718860574778,304.19923447029083,False
ATM_1,2023-11-16,169.56,162.5,8.099877625052745,324.8861242655586,False
ATM_1,2023-11-17,197.75,165.78,10.120371308959783,315.2832834509218,False
ATM_1,2023-11-20,354.44,295.4,135.14055507670292,453.7084368395648,False
ATM_1,2023-11-21,145.73,196.01,35.43232239996054,361.49915732178516,False
ATM_1,2023-11-22,151.5,181.36,31.48847283138238,318.24715841053114,False
ATM_1,2023-11-24,222.3,160.71,5.4319423978227634,318.008365163707,False
ATM_1,2023-11-25,195.76,176.13,22.782558502084033,318.6746486876676,False
ATM_1,2023-11-26,197.55,239.92,80.51392007841162,402.7468436095395,False
ATM_1,2023-11-27,88.31,316.25,169.44935078189144,471.50319926061985,False
